시군명,인허가일자,영업상태명,업체수
양평군,20210326,정상,1
동두천시,20210329,정상,1
안성시,20210330,정상,1
연천군,20210405,정상,1
이천시,20210408,정상,1
광주시,20210412,정상,1
김포시,20210414,정상,1
파주시,20210416,정상,1
평택시,20210426,정상,1
남양주시,20210429,정상,1
고양시,20210503,정상,1
안산시,20210510,정상,1
평택시,20210510,정상,1
포천시,20210511,정상,1
이천시,20210512,정상,1
김포시,20210513,정상,1
양평군,20210521,정상,1
양평군,20210521,정상,1
양평군,20210521,정상,1
양평군,20210521,정상,1
김포시,20210521,정상,1
양평군,20210521,정상,1
김포시,20210525,정상,1
안산시,20210527,정상,1
동두천시,20210528,정상,1
광주시,20210528,정상,1
여주시,20210607,정상,1
김포시,20210615,정상,1
수원시,20210615,정상,1
포천시,20210617,정상,1
남양주시,20210622,정상,1
양평군,20210623,정상,1
포천시,20210701,정상,1
평택시,20210701,정상,1
포천시,20210706,정상,1
양평군,20210707,정상,1
남양주시,20210713,정상,1
수원시,20210714,정상,1
남양주시,20210720,정상,1
양주시,20210720,정상,1
양평군,20210723,정상,1
김포시,20210727,정상,1
용인시,20210727,정상,1
파주시,20210727,정상,1
파주시,20210805,정상,1
김포시,20210810,정상,1
양평군,20210811,정상,1
파주시,20210819,정상,1
김포시,20210819,정상,1
광주시,20210827,정상,1
화성시,20210902,정상,1
이천시,20210909,정상,1
파주시,20210913,정상,1
포천시,20210923,정상,1
남양주시,20210928,정상,1
안성시,20210929,정상,1
안성시,20210929,정상,1
안양시,20210930,정상,1
김포시,20211005,정상,1
김포시,20211005,정상,1
이천시,20211006,정상,1
남양주시,20211014,정상,1
파주시,20211015,정상,1
평택시,20211019,정상,1
김포시,20211020,정상,1
안성시,20211021,정상,1
화성시,20211028,정상,1
파주시,20211103,정상,1
양주시,20211103,정상,1
여주시,20211104,정상,1
안성시,20211108,정상,1
파주시,20211109,정상,1
화성시,20211119,정상,1
성남시,20211130,정상,1
포천시,20211201,정상,1
안성시,20211202,정상,1
화성시,20211206,정상,1
화성시,20211207,정상,1
의왕시,20211208,정상,1
양평군,20211220,정상,1
안성시,20211227,정상,1
여주시,20211229,정상,1
파주시,20211230,정상,1
양평군,20211230,정상,1
양평군,20211230,정상,1
파주시,20220104,정상,1
양평군,20220106,정상,1
남양주시,20220107,정상,1
화성시,20220113,정상,1
여주시,20220114,정상,1
여주시,20220114,정상,1
여주시,20220114,정상,1
파주시,20220118,정상,1
광주시,20220125,정상,1
용인시,20220126,정상,1
양주시,20220206,정상,1
여주시,20220207,정상,1
양평군,20220209,정상,1
김포시,20220210,정상,1
김포시,20220218,정상,1
김포시,20220218,정상,1
김포시,20220218,정상,1
파주시,20220221,정상,1
양주시,20220221,정상,1
파주시,20220221,정상,1
용인시,20220307,정상,1
포천시,20220310,정상,1
화성시,20220311,정상,1
포천시,20220314,정상,1
양평군,20220314,정상,1
양평군,20220314,정상,1
평택시,20220314,정상,1
평택시,20220316,정상,1
파주시,20220316,정상,1
김포시,20220322,정상,1
김포시,20220322,정상,1
평택시,20220329,정상,1
김포시,20220331,정상,1
파주시,20220406,정상,1
양주시,20220408,정상,1
파주시,20220413,정상,1
안성시,20220413,정상,1
양평군,20220415,정상,1
파주시,20220419,정상,1
